Timestamp,TwizzlerRating,TwizzlerFrequency,Race,Gender,Income,Education,SleepHours,WorkHoursPerWeek
6/13/2025 11:52:01,4,<1 per year,White,Male,<70k,<HS,10,12
6/13/2025 11:56:32,1,<1 per year,White,Male,70-130k,Bachelor,9,30
6/13/2025 11:59:12,5,1 per year,East Asian,Female,<70k,<HS,7,6
6/13/2025 12:02:17,1,<1 per year,White,Male,<70k,<HS,9,0
6/13/2025 12:04:48,2,1 per month,Indian,Male,<70k,<HS,8,0
6/13/2025 12:04:49,3,1 per year,Indian ,Male,<70k,<HS,5,0
6/13/2025 12:11:29,3,<1 per year,Middle Eastern,Male,<70k,Bachelor,6,35
6/13/2025 12:12:48,5,<1 per year,White,Female,<70k,Bachelor,7,35
6/13/2025 12:13:16,3,1 per year,White,Female,<70k,Bachelor,8,40
6/13/2025 12:18:19,2,1 per year,White,Male,70-130k,Bachelor,6,40
6/13/2025 12:20:14,6,<1 per year,East Asian,Female,,Bachelor,6,10
6/13/2025 12:20:18,3,<1 per year,East Asian,Male,,Bachelor,7,17
6/13/2025 12:21:09,1,<1 per year,Hispanic,Female,70-130k,Bachelor,5,3
6/13/2025 12:26:16,10,>1 per day,East Asian,Female,<70k,HS,7,0
6/13/2025 12:26:41,1,,Hispanic,Female,70-130k,<HS,5,0
6/13/2025 12:28:19,1,<1 per year,East Asian,Female,<70k,<HS,7,4
6/13/2025 12:31:02,0,<1 per year,Indian,Female,>300k,Bachelor,6,40
6/13/2025 12:33:37,10,>1 per day,East Asian,Female,<70k,<HS,4,6
6/13/2025 12:34:57,1,1 per year,Indian,Female,<70k,<HS,5,0
6/13/2025 12:42:48,4,1 per year,East Asian,Male,200-300k,Bachelor,8,35
6/13/2025 12:42:48,1,<1 per year,East Asian,Male,<70k,Masters,6,0
6/13/2025 12:46:09,7,<1 per year,East Asian,Female,<70k,HS,8,27
6/13/2025 12:46:10,5,<1 per year,East Asian,Female,,Bachelor,8,36
6/13/2025 12:46:39,1,<1 per year,,,<70k,Bachelor,5,40
6/13/2025 12:48:01,0,<1 per year,Indian,Male,>300k,Bachelor,7,50
6/13/2025 12:50:13,5,<1 per year,Indian,Female,<70k,<HS,7,0
6/13/2025 12:51:55,8,1 per month,White,Male,<70k,HS,9,60
6/13/2025 12:52:35,2,<1 per year,Southeast Asian,Female,<70k,HS,,20
6/13/2025 12:52:48,2,<1 per year,East Asian,Male,<70k,<HS,4,0
6/13/2025 12:56:38,2,<1 per year,East Asian,Male,<70k,HS,4,0
6/13/2025 12:56:52,4,<1 per year,East Asian,Female,<70k,Bachelor,4,0
6/13/2025 12:57:42,7,1 per year,White,Female,<70k,HS,6.5,0
6/13/2025 13:01:53,2,<1 per year,East Asian,Male,,<HS,8,0
6/13/2025 13:01:54,1,1 per year,Hispanic,Male,70-130k,HS,3,60
6/13/2025 13:02:09,7,1 per week,Southeast Asian,Male,<70k,<HS,3,0
6/13/2025 13:02:46,4,1 per year,Indian,Male,70-130k,Bachelor,6.5,40
6/13/2025 13:04:33,7,1 per year,East Asian,Female,,Masters,5.5,45
6/13/2025 13:09:04,2,1 per year,Southeast Asian,Female,<70k,HS,7,0
6/13/2025 13:09:40,1,1 per year,Southeast Asian,Male,<70k,<HS,4,0
6/13/2025 13:12:51,6,1 per year,White,Male,<70k,HS,6,30
6/13/2025 13:12:59,5,<1 per year,White,Male,<70k,HS,6,25
6/13/2025 13:13:17,1,<1 per year,Hispanic,Male,<70k,HS,4,0
6/13/2025 13:13:33,1,<1 per year,Hispanic,Male,<70k,<HS,3,0
6/13/2025 13:14:39,2,<1 per year,Indian,Female,<70k,<HS,7,2
6/13/2025 13:14:59,0,<1 per year,Indian,Female,<70k,<HS,6,0
6/13/2025 13:15:51,10,1 per month,Hispanic,Female,,HS,10,20
6/13/2025 13:16:37,2,<1 per year,East Asian,Female,<70k,<HS,10,0
6/13/2025 13:17:43,2,1 per year,East Asian,Female,,HS,7,15
6/13/2025 13:32:59,7,1 per year,White,Female,,PhD,8,60
6/13/2025 14:04:17,7,1 per year,Indian,Female,<70k,HS,7,15
6/13/2025 14:05:28,6,1 per month,White,Male,130-200k,HS,7,3
6/13/2025 14:17:31,5,1 per month,Indian,Male,<70k,<HS,8,0
6/13/2025 14:24:31,6,>1 per week,Indian,Non-Binary,<70k,<HS,6,11
